t,carrier,station,target_deg
11.2667,2,D,28.56
16.3333,5,C,37.52
26.0167,8,D,38.22
33.3167,2,D,37.86
38.6167,6,B,-38.02
45.3667,0,B,-28.8
52.5167,4,D,38.5
56.8667,7,C,28.81
64.4667,1,C,37.2
73.3833,4,B,-38.05
81.1167,7,D,38.44
