t,event,slug,data
1.0167,item_spawned,sack,"{""zone_true"": ""D""}"
6.5,item_detected,sack,
6.9833,item_classified,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 0.4, ""sensor_miss"": false, ""dims_mm"": [195.3, 172.1, 164.9], ""reason"": ""circle evidence: circ=0.80 sect=0.00 dome=0.64 flank=58.5mm elong=1.2 h/w=1.04"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
8.0167,escapement_release,sack,"{""carrier"": 2, ""zone"": ""D"", ""t_land_est"": 8.905, ""len_m"": 0.195, ""bias"": 0.0}"
8.6667,item_spawned,pouf,"{""zone_true"": ""C""}"
8.9333,induction_landed,sack,"{""carrier"": 2, ""offset_m"": -0.1011}"
8.9333,routing_cmd,sack,"{""zone"": ""D"", ""carrier"": 2}"
11.2667,tilt_cmd,sack,"{""carrier"": 2, ""station"": ""D"", ""target_deg"": 32.37}"
11.6833,tilt_full,sack,"{""carrier"": 2, ""tilt_ms"": 416.7}"
12.1833,item_delivered,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.535, 2.493, 0.341]}"
14.0,item_detected,pouf,
14.4833,item_classified,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [445.4, 412.3, 264.0], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
15.15,escapement_release,pouf,"{""carrier"": 5, ""zone"": ""C"", ""t_land_est"": 16.105, ""len_m"": 0.445, ""bias"": -0.05}"
16.1667,induction_landed,pouf,"{""carrier"": 5, ""offset_m"": -0.0466}"
16.1667,routing_cmd,pouf,"{""zone"": ""C"", ""carrier"": 5}"
16.2667,item_spawned,helmet,"{""zone_true"": ""D""}"
16.3333,tilt_cmd,pouf,"{""carrier"": 5, ""station"": ""C"", ""target_deg"": 37.52}"
16.7833,tilt_full,pouf,"{""carrier"": 5, ""tilt_ms"": 450.0}"
17.1167,item_delivered,pouf,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.53, 2.486, 0.413]}"
21.6167,item_detected,helmet,
22.1,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.25, ""sensor_miss"": false, ""dims_mm"": [352.6, 292.8, 270.7], ""reason"": ""circle evidence: circ=0.79 sect=0.00 dome=0.70 flank=104.8mm elong=1.3 h/w=1.09"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
22.4,escapement_release,helmet,"{""carrier"": 8, ""zone"": ""D"", ""t_land_est"": 23.305, ""len_m"": 0.353, ""bias"": -0.05}"
23.2167,item_spawned,bottle,"{""zone_true"": ""D""}"
23.2333,induction_landed,helmet,"{""carrier"": 8, ""offset_m"": -0.0529}"
23.2333,routing_cmd,helmet,"{""zone"": ""D"", ""carrier"": 8}"
26.0167,tilt_cmd,helmet,"{""carrier"": 8, ""station"": ""D"", ""target_deg"": 38.22}"
26.4667,tilt_full,helmet,"{""carrier"": 8, ""tilt_ms"": 450.0}"
26.8,item_delivered,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.741, 2.471, 0.414]}"
28.6833,item_detected,bottle,
29.1667,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [292.1, 99.7, 84.7], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.36 sect=0.79 dome=0.70 flank=12.3mm elong=3.5 h/w=1.18"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
29.6667,escapement_release,bottle,"{""carrier"": 2, ""zone"": ""D"", ""t_land_est"": 30.505, ""len_m"": 0.292, ""bias"": 0.0}"
29.8333,item_spawned,box_s,"{""zone_true"": ""B""}"
30.55,induction_landed,bottle,"{""carrier"": 2, ""offset_m"": -0.1015}"
30.55,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 2}"
33.3167,tilt_cmd,bottle,"{""carrier"": 2, ""station"": ""D"", ""target_deg"": 37.86}"
33.7667,tilt_full,bottle,"{""carrier"": 2, ""tilt_ms"": 450.0}"
34.1,discharge_confirmed,bottle,"{""carrier"": 2, ""station"": ""D"", ""latency_ms"": 633.3}"
34.1667,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.726, 2.47, 0.265]}"
35.1833,item_detected,box_s,
35.6667,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [317.0, 204.2, 199.2], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.01 flank=44.5mm elong=1.5 h/w=0.98"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
35.6667,escapement_release,box_s,"{""carrier"": 6, ""zone"": ""B"", ""t_land_est"": 36.505, ""len_m"": 0.317, ""bias"": 0.0}"
36.4,item_spawned,lunchbox,"{""zone_true"": ""B""}"
36.6,induction_landed,box_s,"{""carrier"": 6, ""offset_m"": -0.1255}"
36.6,routing_cmd,box_s,"{""zone"": ""B"", ""carrier"": 6}"
38.5833,tilt_cmd,box_s,"{""carrier"": 6, ""station"": ""B"", ""target_deg"": -38.02}"
39.0333,tilt_full,box_s,"{""carrier"": 6, ""tilt_ms"": 450.0}"
39.4667,discharge_confirmed,box_s,"{""carrier"": 6, ""station"": ""B"", ""latency_ms"": 733.3}"
41.75,item_detected,lunchbox,
41.9167,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.33, 5.712, 0.8]}"
42.2333,item_classified,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [187.7, 146.8, 61.7], ""reason"": ""fits, no circle evidence: circ=0.69 sect=0.00 dome=0.14 flank=34.6mm elong=1.3 h/w=0.42"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
42.8,escapement_release,lunchbox,"{""carrier"": 0, ""zone"": ""B"", ""t_land_est"": 43.705, ""len_m"": 0.188, ""bias"": 0.0}"
42.9167,item_spawned,plate,"{""zone_true"": ""D""}"
43.65,induction_landed,lunchbox,"{""carrier"": 0, ""offset_m"": -0.0486}"
43.65,routing_cmd,lunchbox,"{""zone"": ""B"", ""carrier"": 0}"
45.3667,tilt_cmd,lunchbox,"{""carrier"": 0, ""station"": ""B"", ""target_deg"": -32.64}"
45.7833,tilt_full,lunchbox,"{""carrier"": 0, ""tilt_ms"": 416.7}"
46.35,discharge_confirmed,lunchbox,"{""carrier"": 0, ""station"": ""B"", ""latency_ms"": 833.3}"
48.2833,item_detected,plate,
48.75,item_delivered,lunchbox,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.252, 5.706, 0.731]}"
48.7667,item_classified,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [200.3, 200.0, 26.6], ""reason"": ""circle evidence: circ=0.94 sect=0.00 dome=0.50 flank=23.8mm elong=1.0 h/w=0.13"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
48.8667,escapement_release,plate,"{""carrier"": 4, ""zone"": ""D"", ""t_land_est"": 49.705, ""len_m"": 0.2, ""bias"": 0.0}"
49.7167,induction_landed,plate,"{""carrier"": 4, ""offset_m"": -0.0902}"
49.7167,routing_cmd,plate,"{""zone"": ""D"", ""carrier"": 4}"
49.8167,item_spawned,pen,"{""zone_true"": ""C""}"
52.5167,tilt_cmd,plate,"{""carrier"": 4, ""station"": ""D"", ""target_deg"": 38.5}"
52.9667,tilt_full,plate,"{""carrier"": 4, ""tilt_ms"": 450.0}"
53.3833,item_delivered,plate,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.796, 2.491, 0.252]}"
55.1833,item_detected,pen,
55.6667,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [146.3, 13.4, 8.7], ""reason"": ""undersize: dim 8.7 mm below certification floor 10.8 mm [macro head: 4 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
55.95,escapement_release,pen,"{""carrier"": 7, ""zone"": ""C"", ""t_land_est"": 56.905, ""len_m"": 0.146, ""bias"": 0.0}"
56.7167,induction_landed,pen,"{""carrier"": 7, ""offset_m"": 0.0123}"
56.7167,routing_cmd,pen,"{""zone"": ""C"", ""carrier"": 7}"
56.8333,item_spawned,box_l,"{""zone_true"": ""C""}"
56.8667,tilt_cmd,pen,"{""carrier"": 7, ""station"": ""C"", ""target_deg"": 32.65}"
57.5333,tilt_full,pen,"{""carrier"": 7, ""tilt_ms"": 666.7}"
58.0667,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.69, 2.486, 0.239]}"
62.1833,item_detected,box_l,
62.6667,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [393.5, 393.2, 300.7], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
63.2,escapement_release,box_l,"{""carrier"": 1, ""zone"": ""C"", ""t_land_est"": 64.105, ""len_m"": 0.394, ""bias"": -0.05}"
63.95,item_spawned,detergent,"{""zone_true"": ""B""}"
64.3,induction_landed,box_l,"{""carrier"": 1, ""offset_m"": -0.0082}"
64.3,routing_cmd,box_l,"{""zone"": ""C"", ""carrier"": 1}"
64.4667,tilt_cmd,box_l,"{""carrier"": 1, ""station"": ""C"", ""target_deg"": 37.2}"
64.9,tilt_full,box_l,"{""carrier"": 1, ""tilt_ms"": 433.3}"
65.25,discharge_confirmed,box_l,"{""carrier"": 1, ""station"": ""C"", ""latency_ms"": 616.7}"
65.3333,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.592, 2.49, 0.461]}"
69.3167,item_detected,detergent,
69.8,item_classified,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [306.2, 259.1, 176.6], ""reason"": ""fits, no circle evidence: circ=0.71 sect=0.00 dome=0.67 flank=58.3mm elong=1.2 h/w=0.69"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
70.3167,escapement_release,detergent,"{""carrier"": 4, ""zone"": ""B"", ""t_land_est"": 71.305, ""len_m"": 0.306, ""bias"": 0.0}"
71.2167,induction_landed,detergent,"{""carrier"": 4, ""offset_m"": -0.0312}"
71.2167,routing_cmd,detergent,"{""zone"": ""B"", ""carrier"": 4}"
71.95,item_spawned,cylinder,"{""zone_true"": ""D""}"
73.4,tilt_cmd,detergent,"{""carrier"": 4, ""station"": ""B"", ""target_deg"": -38.05}"
73.85,tilt_full,detergent,"{""carrier"": 4, ""tilt_ms"": 450.0}"
74.35,discharge_confirmed,detergent,"{""carrier"": 4, ""station"": ""B"", ""latency_ms"": 783.3}"
76.8,item_delivered,detergent,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.464, 5.708, 0.767]}"
77.3,item_detected,cylinder,
77.7833,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [409.2, 43.0, 37.1], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.10 sect=0.58 dome=0.07 flank=6.8mm elong=11.0 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
77.7833,escapement_release,cylinder,"{""carrier"": 7, ""zone"": ""D"", ""t_land_est"": 78.505, ""len_m"": 0.409, ""bias"": -0.05}"
78.5667,induction_landed,cylinder,"{""carrier"": 7, ""offset_m"": -0.1144}"
78.5667,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 7}"
81.1167,tilt_cmd,cylinder,"{""carrier"": 7, ""station"": ""D"", ""target_deg"": 38.44}"
81.5667,tilt_full,cylinder,"{""carrier"": 7, ""tilt_ms"": 450.0}"
81.95,discharge_confirmed,cylinder,"{""carrier"": 7, ""station"": ""D"", ""latency_ms"": 666.7}"
81.9833,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.598, 2.482, 0.257]}"
