t,carrier,station,target_deg
10.0667,3,D,32.34
16.2667,5,C,32.5
25.6667,8,D,32.25
29.5167,3,C,38.38
38.1667,6,B,-32.32
43.8833,0,C,38.4
53.5167,3,D,37.84
59.7667,6,B,-32.66
68.8667,8,D,32.66
74.1667,3,B,-31.93
