t,carrier,station,target_deg
8.0,3,C,38.04
16.0833,5,C,32.5
26.1167,8,D,0.0
27.7,8,REVIEW,0.0
32.0333,3,D,37.94
38.1667,6,B,-32.62
45.8167,0,B,-38.02
51.25,3,C,38.4
60.4667,6,D,32.16
69.1167,8,D,0.0
70.9,8,REVIEW,0.0
74.6167,3,B,-38.42
82.5167,6,D,38.42
