t,carrier,station,target_deg
10.5167,3,D,38.04
18.7167,5,D,38.23
26.1167,8,D,37.94
29.2833,3,C,28.78
36.9333,6,C,38.02
45.25,1,D,38.4
49.9667,4,C,37.84
56.9667,7,C,28.82
66.9667,0,B,-28.82
74.1167,4,D,37.57
81.3667,6,B,-28.34
89.0167,0,B,-38.04
95.7,2,C,38.35
101.2667,6,C,28.13
123.2667,6,C,37.77
127.6667,4,D,28.31
129.8167,2,B,-37.78
153.3167,1,D,37.91
155.7167,8,D,37.45
