t,event,slug,data
42.75,escapement_release,detergent,"{""carrier"": 0, ""zone"": ""D"", ""t_land_est"": 43.705, ""len_m"": 0.287, ""bias"": 0.0}"
43.65,induction_landed,detergent,"{""carrier"": 0, ""offset_m"": -0.0607}"
43.65,routing_cmd,detergent,"{""zone"": ""D"", ""carrier"": 0}"
43.9333,item_spawned,box_l,"{""zone_true"": ""C""}"
46.5167,tilt_cmd,detergent,"{""carrier"": 0, ""station"": ""D"", ""target_deg"": 38.4}"
46.9667,tilt_full,detergent,"{""carrier"": 0, ""tilt_ms"": 450.0}"
47.3667,item_delivered,detergent,"{""zone"": ""D"", ""zone_true"": ""B"", ""ok"": false, ""pos"": [8.812, 2.48, 0.313]}"
49.2833,item_detected,box_l,
49.7667,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [488.2, 482.0, 300.7], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
50.0,escapement_release,box_l,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 50.905, ""len_m"": 0.488, ""bias"": -0.05}"
51.15,induction_landed,box_l,"{""carrier"": 3, ""offset_m"": -0.0393}"
51.15,routing_cmd,box_l,"{""zone"": ""C"", ""carrier"": 3}"
51.2333,item_spawned,sack,"{""zone_true"": ""D""}"
51.3,tilt_cmd,box_l,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 37.84}"
51.75,tilt_full,box_l,"{""carrier"": 3, ""tilt_ms"": 450.0}"
52.0833,discharge_confirmed,box_l,"{""carrier"": 3, ""station"": ""C"", ""latency_ms"": 633.3}"
52.1667,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.597, 2.489, 0.468]}"
56.6833,item_detected,sack,
57.1667,item_classified,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 0.0, ""sensor_miss"": false, ""dims_mm"": [189.1, 172.4, 152.5], ""reason"": ""circle evidence: circ=0.77 sect=0.00 dome=0.56 flank=53.3mm elong=1.2 h/w=1.13"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
