t,carrier,station,target_deg
8.0,3,C,38.04
16.0833,5,C,28.67
26.1167,8,D,37.94
32.0333,3,D,38.38
38.1667,6,B,-28.51
46.5167,0,D,38.4
51.3,3,C,37.84
60.4667,6,D,28.82
69.1333,8,D,38.42
74.5833,3,B,-37.57
82.5167,6,D,37.79
