t,carrier,station,target_deg
8.1167,3,C,37.93
17.7167,6,D,38.35
23.5167,1,D,37.76
28.1,4,C,28.75
38.05,7,D,37.66
43.4167,2,B,-37.12
48.7,5,C,38.12
57.3667,8,B,-28.81
65.2667,2,D,28.33
72.9167,5,D,37.94
80.6167,7,B,-38.47
