t,carrier,station,target_deg
10.3167,3,D,37.54
14.9667,6,C,28.8
24.9167,0,D,37.71
29.6667,3,C,37.57
37.4167,7,B,-37.88
44.8667,1,D,28.82
49.9333,4,C,38.89
58.4333,8,D,36.86
65.0167,2,B,-37.49
71.7667,5,B,-27.81
81.3167,7,D,37.82
