t,event,slug,data
1.0167,item_spawned,cylinder,"{""zone_true"": ""D""}"
6.3667,item_detected,cylinder,
6.85,item_classified,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [409.2, 43.0, 36.8], ""reason"": ""ambiguous prism section on elongated item (safe side): circ=0.10 sect=0.63 dome=0.06 flank=5.1mm elong=11.1 h/w=1.17"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.9667,escapement_release,cylinder,"{""carrier"": 3, ""zone"": ""D"", ""t_land_est"": 7.705, ""len_m"": 0.409, ""bias"": -0.05}"
7.7,induction_landed,cylinder,"{""carrier"": 3, ""offset_m"": -0.0816}"
7.7,routing_cmd,cylinder,"{""zone"": ""D"", ""carrier"": 3}"
7.9833,item_spawned,pen,"{""zone_true"": ""C""}"
10.3167,tilt_cmd,cylinder,"{""carrier"": 3, ""station"": ""D"", ""target_deg"": 37.54}"
10.7667,tilt_full,cylinder,"{""carrier"": 3, ""tilt_ms"": 450.0}"
11.15,discharge_confirmed,cylinder,"{""carrier"": 3, ""station"": ""D"", ""latency_ms"": 666.7}"
11.2,item_delivered,cylinder,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.665, 2.478, 0.265]}"
13.35,item_detected,pen,
13.8333,item_classified,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [146.3, 13.5, 8.7], ""reason"": ""undersize: dim 8.7 mm below certification floor 10.8 mm [macro head: 5 reads, floor 10.8 mm]"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
14.0333,escapement_release,pen,"{""carrier"": 6, ""zone"": ""C"", ""t_land_est"": 14.905, ""len_m"": 0.146, ""bias"": 0.0}"
14.3167,item_spawned,bottle,"{""zone_true"": ""D""}"
14.8,induction_landed,pen,"{""carrier"": 6, ""offset_m"": -0.0269}"
14.8,routing_cmd,pen,"{""zone"": ""C"", ""carrier"": 6}"
14.9667,tilt_cmd,pen,"{""carrier"": 6, ""station"": ""C"", ""target_deg"": 28.8}"
15.5333,tilt_full,pen,"{""carrier"": 6, ""tilt_ms"": 566.7}"
16.1667,item_delivered,pen,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.794, 2.493, 0.243]}"
19.6833,item_detected,bottle,
20.1667,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [295.4, 99.2, 86.7], ""reason"": ""circle evidence: circ=0.40 sect=0.86 dome=0.70 flank=24.4mm elong=3.4 h/w=1.14"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
21.1667,escapement_release,bottle,"{""carrier"": 0, ""zone"": ""D"", ""t_land_est"": 22.105, ""len_m"": 0.295, ""bias"": 0.0}"
21.8,item_spawned,box_l,"{""zone_true"": ""C""}"
22.05,induction_landed,bottle,"{""carrier"": 0, ""offset_m"": -0.0496}"
22.05,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 0}"
24.9167,tilt_cmd,bottle,"{""carrier"": 0, ""station"": ""D"", ""target_deg"": 37.71}"
25.3667,tilt_full,bottle,"{""carrier"": 0, ""tilt_ms"": 450.0}"
25.75,discharge_confirmed,bottle,"{""carrier"": 0, ""station"": ""D"", ""latency_ms"": 666.7}"
25.7667,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.914, 2.474, 0.267]}"
27.15,item_detected,box_l,
27.6333,item_classified,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [391.1, 389.9, 300.9], ""reason"": ""oversize (guard band 6 mm)"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
28.0333,item_spawned,box_s,"{""zone_true"": ""B""}"
28.4,escapement_release,box_l,"{""carrier"": 3, ""zone"": ""C"", ""t_land_est"": 29.305, ""len_m"": 0.391, ""bias"": -0.05}"
29.5,induction_landed,box_l,"{""carrier"": 3, ""offset_m"": -0.0082}"
29.5,routing_cmd,box_l,"{""zone"": ""C"", ""carrier"": 3}"
29.6667,tilt_cmd,box_l,"{""carrier"": 3, ""station"": ""C"", ""target_deg"": 37.57}"
30.1167,tilt_full,box_l,"{""carrier"": 3, ""tilt_ms"": 450.0}"
30.4333,item_delivered,box_l,"{""zone"": ""C"", ""zone_true"": ""C"", ""ok"": true, ""pos"": [7.577, 2.478, 0.441]}"
33.3833,item_detected,box_s,
33.8667,item_classified,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""correct"": true, ""n_reads"": 5, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [292.1, 200.0, 196.5], ""reason"": ""fits, no circle evidence: circ=0.61 sect=0.00 dome=0.00 flank=38.0mm elong=1.5 h/w=1.02"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
34.4,escapement_release,box_s,"{""carrier"": 7, ""zone"": ""B"", ""t_land_est"": 35.305, ""len_m"": 0.292, ""bias"": 0.0}"
34.8167,item_spawned,sack,"{""zone_true"": ""D""}"
35.25,induction_landed,box_s,"{""carrier"": 7, ""offset_m"": -0.0469}"
35.25,routing_cmd,box_s,"{""zone"": ""B"", ""carrier"": 7}"
37.4167,tilt_cmd,box_s,"{""carrier"": 7, ""station"": ""B"", ""target_deg"": -37.88}"
37.8667,tilt_full,box_s,"{""carrier"": 7, ""tilt_ms"": 450.0}"
38.35,discharge_confirmed,box_s,"{""carrier"": 7, ""station"": ""B"", ""latency_ms"": 783.3}"
40.25,item_detected,sack,
40.7333,item_classified,sack,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 5, ""confidence"": 0.2, ""sensor_miss"": false, ""dims_mm"": [194.5, 172.3, 161.9], ""reason"": ""circle evidence: circ=0.76 sect=0.00 dome=0.50 flank=57.0mm elong=1.2 h/w=1.06"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
40.7667,item_delivered,box_s,"{""zone"": ""B"", ""zone_true"": ""B"", ""ok"": true, ""pos"": [8.404, 5.708, 0.8]}"
