t,carrier,station,target_deg
8.0,3,C,38.04
16.0833,5,C,28.67
26.1167,8,D,37.94
32.0333,3,D,38.38
38.1667,6,B,-28.51
45.8167,0,B,-38.4
51.2333,3,C,37.84
60.4667,6,D,28.82
69.1167,8,D,38.42
74.6167,3,B,-37.57
82.5167,6,D,37.79
