t,carrier,station,target_deg
7.8,3,C,32.52
17.6167,6,D,38.33
24.2167,0,B,-38.49
30.4667,4,D,32.4
38.1167,7,D,38.37
44.6167,1,B,-38.03
52.5167,4,D,37.93
57.25,7,C,37.53
66.7167,1,D,37.21
70.4,5,C,37.74
78.9667,8,B,-31.86
