t,carrier,station,target_deg
10.5167,3,D,38.34
17.6833,6,D,37.58
24.2167,0,B,-38.18
29.6667,3,C,37.74
40.0667,5,D,28.89
45.3667,0,B,-29.35
53.7167,3,D,37.21
57.15,7,C,38.05
66.2167,1,B,-37.26
70.15,5,C,28.97
81.1667,7,D,38.2
