t,event,slug,data
1.0167,item_spawned,bottle,"{""zone_true"": ""D""}"
6.3833,item_detected,bottle,
6.8667,item_classified,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 3, ""confidence"": 1.0, ""sensor_miss"": false, ""dims_mm"": [286.5, 99.8, 86.3], ""reason"": ""circle evidence: circ=0.38 sect=0.95 dome=0.73 flank=16.9mm elong=3.3 h/w=1.16"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
6.8667,escapement_release,bottle,"{""carrier"": 3, ""zone"": ""D"", ""t_land_est"": 7.705, ""len_m"": 0.286, ""bias"": 0.0}"
7.8,induction_landed,bottle,"{""carrier"": 3, ""offset_m"": -0.1208}"
7.8,routing_cmd,bottle,"{""zone"": ""D"", ""carrier"": 3}"
8.1333,item_spawned,helmet,"{""zone_true"": ""D""}"
10.5167,tilt_cmd,bottle,"{""carrier"": 3, ""station"": ""D"", ""target_deg"": 38.34}"
10.9667,tilt_full,bottle,"{""carrier"": 3, ""tilt_ms"": 450.0}"
11.3667,discharge_confirmed,bottle,"{""carrier"": 3, ""station"": ""D"", ""latency_ms"": 683.3}"
11.3833,item_delivered,bottle,"{""zone"": ""D"", ""zone_true"": ""D"", ""ok"": true, ""pos"": [8.902, 2.471, 0.264]}"
13.4,item_detected,helmet,
13.8833,item_classified,helmet,"{""zone"": ""D"", ""zone_true"": ""D"", ""correct"": true, ""n_reads"": 4, ""confidence"": 0.5, ""sensor_miss"": false, ""dims_mm"": [314.8, 295.1, 284.5], ""reason"": ""circle evidence: circ=0.82 sect=0.00 dome=0.69 flank=107.6mm elong=1.2 h/w=1.04"", ""latency_ms"": 483.3, ""mode"": ""rtx_depth_dual_range""}"
13.9,escapement_release,helmet,"{""carrier"": 6, ""zone"": ""D"", ""t_land_est"": 14.905, ""len_m"": 0.315, ""bias"": 0.0}"
14.7667,induction_landed,helmet,"{""carrier"": 6, ""offset_m"": -0.0192}"
14.7667,routing_cmd,helmet,"{""zone"": ""D"", ""carrier"": 6}"
